Ticker,Date,Open,High,Low,Close,Adj Close,Volume,Daily_Return,SMA_20,SMA_50,EMA_12,EMA_26,MACD,MACD_Signal,RSI_14,Volatility_20,BB_Upper,BB_Lower,ATR_14,Support_20,Resistance_20,Volume_SMA_20,Volume_Ratio,Drawdown_50,RSI_14_lag1,RSI_14_lag2,MACD_lag1,MACD_lag2,Daily_Return_lag1,Volume_Ratio_lag1,Target_Close_3D,Target_Return,Target_Direction
ADANIPORTS,2025-05-05,1290.0,1377.0,1285.7,1347.1,1334.95,14191797,0.06650304805636931,1209.1475,1159.075,1238.9978491834795,1209.0140313935824,29.983817789897103,22.193066916148048,79.91108641289247,0.026535435594382997,1318.1799503844588,1100.1150496155412,46.31785714285718,1041.5,1377.0,3621961.35,3.9182629599291556,0.0,73.83752487787227,71.1319624675584,21.375758766315585,18.630552394161896,0.03830661734484164,3.574851645786498,1333.1,-0.01039269541979071,0
ADANIPORTS,2025-05-06,1350.0,1356.3,1315.0,1320.8,1308.89,3604276,-0.019523420681463843,1215.415,1164.237,1251.5827954629442,1217.2944735125764,34.288321950367845,24.61211792299201,72.10355071438677,0.027062369224427014,1335.0296316520705,1095.8003683479294,46.517857142857174,1041.5,1377.0,3740532.5,0.9635729672179028,-0.019523420681463843,79.91108641289247,73.83752487787227,29.983817789897103,21.375758766315585,0.06650304805636931,3.9182629599291556,1306.3,-0.010978195033313098,0
ADANIPORTS,2025-05-07,1298.8,1341.3,1298.7,1338.2,1326.13,3269847,0.013173834039975851,1222.3300000000002,1169.343,1264.908519237876,1226.2504384375707,38.65808080030524,27.421310498454655,69.62415280345041,0.02711504445858217,1353.5914762902357,1091.0685237097646,45.178571428571445,1041.5,1377.0,3838999.3,0.8517446200107409,-0.006606784945438204,72.10355071438677,79.91108641289247,34.288321950367845,29.983817789897103,-0.019523420681463843,0.9635729672179028,1362.1,0.017859811687341187,1
ADANIPORTS,2025-05-08,1340.0,1366.9,1316.4,1333.1,1321.08,5077662,-0.003811089523240274,1231.5674999999999,1174.302,1275.3995162782028,1234.1652207755285,41.234295502674286,30.183907499298584,66.28738621586473,0.024715271784239677,1366.849510610185,1096.2854893898148,46.36428571428572,1041.5,1377.0,4003627.75,1.2682652626733342,-0.01039269541979071,69.62415280345041,72.10355071438677,38.65808080030524,34.288321950367845,0.013173834039975851,0.8517446200107409,1369.2,0.027079738954317145,1
ADANIPORTS,2025-05-09,1300.0,1324.9,1292.6,1306.3,1294.52,2979366,-0.020103518115670238,1241.35,1178.771,1280.1534368507869,1239.508537755119,40.644899095667824,32.27610581857243,57.61610912633971,0.023760270392194666,1367.8250984435797,1114.8749015564201,44.69285714285714,1111.05,1377.0,4042948.6,0.7369289829704982,-0.030287283794818487,66.28738621586473,69.62415280345041,41.234295502674286,38.65808080030524,-0.003811089523240274,1.2682652626733342,1371.8,0.05014162137334455,1
ADANIPORTS,2025-05-12,1360.0,1375.0,1345.5,1362.1,1349.82,3662785,0.04271606828446761,1252.8875,1183.779,1292.7606004122042,1248.5893868102953,44.1712136019089,34.65512737523973,67.12723085780082,0.024888995787205697,1379.2112689639623,1126.5637310360378,45.9857142857143,1112.0,1377.0,4104913.55,0.8922928474340222,0.0,57.61610912633971,66.28738621586473,40.644899095667824,41.234295502674286,-0.020103518115670238,0.7369289829704982,1406.2,0.032376477497981115,1
ADANIPORTS,2025-05-13,1360.6,1391.9,1347.1,1369.2,1356.85,3356599,0.005212539461126209,1264.7575,1189.4979999999998,1304.5205080410958,1257.523506305829,46.99700173526685,37.123502247245156,69.73302379570518,0.024818347961169523,1387.744470961615,1141.770529038385,47.142857142857174,1148.0,1391.9,4195884.65,0.7999740888968432,0.0,67.12723085780082,57.61610912633971,44.1712136019089,40.644899095667824,0.04271606828446761,0.8922928474340222,1407.4,0.0278995033596261,1
ADANIPORTS,2025-05-14,1380.0,1381.9,1362.0,1371.8,1359.43,1557379,0.0018989190768330388,1275.1200000000001,1195.526,1314.8711991116963,1265.9884317646563,48.882767347040044,39.47535526720414,69.44037503662469,0.024458002159557117,1397.4796527928072,1152.760347207193,46.7071428571429,1179.0,1391.9,4096941.35,0.3801321197824811,0.0,69.73302379570518,67.12723085780082,46.99700173526685,44.1712136019089,0.005212539461126209,0.7999740888968432,1398.3,0.019317684793701773,1
ADANIPORTS,2025-05-15,1375.6,1409.9,1371.9,1406.2,1393.52,3706424,0.025076541769937455,1284.8899999999999,1202.043,1328.921783863743,1276.3744738561631,52.54731000757988,42.08974621527929,72.76139410187666,0.02368150071627023,1416.4813115032873,1153.2986884967124,48.2571428571429,1181.2,1409.9,4123436.45,0.8988677393100116,0.0,69.44037503662469,69.73302379570518,48.882767347040044,46.99700173526685,0.0018989190768330388,0.3801321197824811,1384.6,-0.015360546152752175,0
ADANIPORTS,2025-05-16,1410.9,1424.9,1401.0,1407.4,1394.71,2777119,0.0008533636751528739,1293.615,1208.612,1340.9953555770135,1286.0800683853363,54.91528719167718,44.65485441055887,82.40628778718258,0.023595608474271838,1433.5665145364635,1153.6634854635365,45.521428571428615,1181.2,1424.9,4166805.85,0.6664862966917453,0.0,72.76139410187666,69.44037503662469,52.54731000757988,48.882767347040044,0.025076541769937455,0.8988677393100116,1384.6,-0.016200085263606834,0
